price,year,manufacturer,model,odometer,type,paint_color,state,lat,long
54995,2014,ram,2500,79256,pickup,black,az,33.458277,-111.92597
53877,,,ierra 1500,14396,pickup,blue,az,33.437098,-111.925724
17500,2011,gmc,sierra 1500,160000,,silver,az,33.6024,-112.1475
20000,1999,ford,e350 passenger van extended,64000,,,az,34.4958,-112.3783
4200,2007,toyota,corolla ce,178000,sedan,grey,az,33.5291,-112.2482
0,2016,chevrolet,silverado 2500hd 4wd c,87862,other,,az,33.640251,-112.014798
7500,2000,ford,excursion,275134,SUV,black,az,33.684238,-112.102735
17997,2008,chevrolet,silverado 1500,150564,pickup,grey,az,33.684238,-112.102735
34997,2020,chevrolet,silverado 1500,13695,pickup,,az,33.684238,-112.102735
33590,2014,gmc,sierra 1500 crew cab slt,57923,pickup,white,ar,35.82,-90.68
36590,2013,chevrolet,corvette grand sport,79156,other,,ar,35.82,-90.68
53995,2020,chevrolet,silverado 1500,8124,truck,,ar,36.059843,-91.909949
26995,2020,ford,edge,15524,SUV,red,ar,36.059843,-91.909949
39590,2019,chevrolet,silverado 1500 crew,21014,pickup,brown,ar,35.82,-90.68
2900,2007,ford,freestyle limited,308000,SUV,blue,ar,35.8404,-90.704
4995,2009,subaru,outback awd20,218650,wagon,silver,ar,35.808949,-90.66922
9500,1991,ram,2500 cummins,128000,,,ar,36.4076,-91.5757
26990,2017,nissan,titan single cab sv,41335,pickup,red,ar,35.82,-90.68
16300,2012,chevrolet,silverado 1500,111236,,,ar,35.5882,-90.562
30995,2018,nissan,pathfinder,33565,SUV,,ar,36.059843,-91.909949
7950,2008,chevrolet,silverado,275000,,,ar,35.994258,-90.537472
7950,2007,gmc,yukon,261000,,,ar,35.99398,-90.536957
7950,2012,ram,,240000,,,ar,35.994952,-90.537643
7600,2014,ford,f150,234000,,,ar,35.994535,-90.537643
6100,2003,nissan,frontier crew cab,178000,,,ar,35.993841,-90.537815
5000,1999,toyota,tacoma,205000,,,ar,35.994258,-90.537815
15990,2017,ford,c-max hybrid se wagon 4d,48195,wagon,blue,ar,35.82,-90.68
5800,2007,ram,,175000,,,ar,35.994119,-90.537643
4950,2007,ram,,232000,,,ar,35.993841,-90.538158
4750,2007,honda,odyssey,263000,,,ar,35.994397,-90.537987
4600,2008,mercury,milan,191000,,,ar,35.994674,-90.5373
20990,2020,honda,fit sport hatchback 4d,1668,hatchback,white,ar,35.82,-90.68
27990,2012,gmc,sierra 2500 hd extended cab,68696,pickup,black,ar,35.82,-90.68
11850,2015,jeep,cherokree,127323,SUV,grey,ar,35.808949,-90.66922
3750,2006,chevrolet,cobalt,136343,sedan,white,ar,35.808949,-90.66922
7350,2013,chrysler,200 limited,104627,sedan,grey,ar,35.808949,-90.66922
11550,2016,dodge,journey,91323,SUV,red,ar,35.808949,-90.66922
24995,2017,lincoln,mkx,56401,SUV,,ar,36.059843,-91.909949
41995,2018,chevrolet,silverado 1500,74448,truck,white,ar,36.059843,-91.909949
14900,2015,gmc,acadia slt,112846,,,ar,36.315551,-91.484087
16900,2014,buick,enclave,97847,,,ar,36.3227,-91.411
